specimen #,species,Longitude,Latitude,sex (0 = M,scale,colour
75,M. fascicularis,96.08,2.58,1,8,red
83,M. fascicularis,97.29,2.15,0,3,red
113,M. fascicularis,97.4,1.48,0,3,red
109,M. fascicularis,97.5,1,0,4,red
100,M. fascicularis,98.4,-0.11,0,1,red
99,M. fascicularis,98.5,-0.4,0,1,red
96,M. fascicularis,98.79,1.77,0,1,red
95,M. fascicularis,98.8,1.57,0,1,red
102,M. fascicularis,99.65,6.6,1,3,red
439,M. fascicularis,100.33,-1.2,1,1,red
87,M. fascicularis,100.43,-1.21,1,1,red
708,M. fascicularis,101,1,1,3,red
88,M. fascicularis,101.6,1.9,0,1,red
89,M. fascicularis,102.3,1.15,0,1,red
90,M. fascicularis,103.37,1.06,1,2,red
86,M. fascicularis,103.43,-0.37,0,1,red
74,M. fascicularis,103.9,0.98,0,1,red
92,M. fascicularis,106,-2.3,0,1,red
106,M. fascicularis,107.45,0.95,1,1,red
93,M. fascicularis,108,-2.87,0,2,red
70,M. fascicularis,108.88,-1.6,0,1,red
66,M. fascicularis,112.97,1.9,0,1,red
592,M. fascicularis,113.97,4.58,1,1,red
69,M. fascicularis,114.07,3.52,0,1,red
588,M. fascicularis,114.65,3.23,1,2,red
587,M. fascicularis,114.8,-1.7,1,1,red
591,M. fascicularis,114.88,-0.95,1,1,red
67,M. fascicularis,114.92,3.62,0,1,red
108,M. fascicularis,115.45,-2.63,0,1,red
64,M. fascicularis,116.56,6.07,0,2,red
71,M. fascicularis,116.67,5.94,0,1,red
59,M. fascicularis,116.99,2.9,1,1,red
53,M. fascicularis,117.03,-0.48,0,2,red
54,M. fascicularis,117.15,-0.5,1,1,red
68,M. fascicularis,117.15,0.5,0,1,red
52,M. fascicularis,117.19,-0.56,0,2,red
55,M. fascicularis,117.7,2.17,1,1,red
73,M. fascicularis,117.81,4.13,1,1,red
699,M. fascicularis,117.87,0.83,0,1,red
436,M. fascicularis,118,-8.75,0,3,red
63,M. fascicularis,118.11,5.45,1,1,red
704,M. fascicularis,118.35,5.1,1,1,red
706,M. fascicularis,118.87,-8.55,1,1,red
437,M. fascicularis,121.5,-8.6,1,1,red
702,M. fascicularis,122.06,7,0,1,red
