specimen #,species,Longitude,Latitude,sex (0 = M; 1 = F)
204,M. mulatta,94.37,23.62,0
205,M. mulatta,95.78,25.97,0
206,M. mulatta,94.48,25.78,0
207,M. mulatta,94.92,24.87,0
208,M. mulatta,96,22,0
209,M. mulatta,95.27,20.93,1
210,M. mulatta,95.93,22.8,0
211,M. mulatta,96.5,22,1
212,M. mulatta,105.83,22.12,1
213,M. mulatta,96.43,18.93,1
214,M. mulatta,96.43,18.93,1
216,M. mulatta,96.5,22.5,0
217,M. mulatta,97.87,26.6,0
218,M. mulatta,97.25,25.42,1
220,M. mulatta,95.17,25.42,1
221,M. mulatta,95.78,25.97,1
222,M. mulatta,94,23.5,1
223,M. mulatta,96.17,18.05,1
257,M. mulatta,96.43,18.93,1
258,M. mulatta,94.48,23.4,0
259,M. mulatta,96.9,22.5,1
260,M. mulatta,92,22,0
262,M. mulatta,103.33,29.5,1
267,M. mulatta,84,28,1
269,M. mulatta,85.21,27.67,1
273,M. mulatta,85.25,27,0
274,M. mulatta,84,28,0
275,M. mulatta,105.83,22.12,1
276,M. mulatta,105.42,19.32,1
277,M. mulatta,73.67,20.1,1
278,M. mulatta,73.67,20.1,1
279,M. mulatta,96.23,28.02,1
280,M. mulatta,96.23,28.02,1
282,M. mulatta,93.75,24.65,1
283,M. mulatta,89.33,26.75,0
284,M. mulatta,91.25,25.92,0
285,M. mulatta,89.38,26.75,0
286,M. mulatta,93.07,25.8,1
287,M. mulatta,89.33,26.75,1
288,M. mulatta,88.33,26.85,1
293,M. mulatta,93.97,26.5,1
540,M. mulatta,107.67,16.17,1
541,M. mulatta,105.82,22.13,1
722,M. mulatta,104,30,0
